Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,220.350006,220.350006,220.350006,220.350006,209.624939,0
2016-01-04,216.199997,216.199997,216.199997,216.199997,205.676926,0
2016-01-05,217.419998,217.419998,217.419998,217.419998,206.837555,0
2016-01-06,215.360001,215.360001,215.360001,215.360001,204.877823,0
2016-01-07,211.270004,211.270004,211.270004,211.270004,200.986893,0
2016-01-08,208.149994,208.149994,208.149994,208.149994,198.018753,0
2016-01-11,205.570007,205.570007,205.570007,205.570007,195.564346,0
2016-01-12,207.190002,207.190002,207.190002,207.190002,197.105484,0
2016-01-13,201.740005,201.740005,201.740005,201.740005,191.920761,0
2016-01-14,206.050003,206.050003,206.050003,206.050003,196.020981,0
2016-01-15,202.179993,202.179993,202.179993,202.179993,192.339310,0
2016-01-19,202.300003,202.300003,202.300003,202.300003,192.453506,0
2016-01-20,202.380005,202.380005,202.380005,202.380005,192.529602,0
2016-01-21,200.830002,200.830002,200.830002,200.830002,191.055008,0
2016-01-22,205.059998,205.059998,205.059998,205.059998,195.079132,0
2016-01-25,203.070007,203.070007,203.070007,203.070007,193.186005,0
2016-01-26,204.039993,204.039993,204.039993,204.039993,194.108795,0
2016-01-27,201.089996,201.089996,201.089996,201.089996,191.302368,0
2016-01-28,196.589996,196.589996,196.589996,196.589996,187.021408,0
2016-01-29,200.669998,200.669998,200.669998,200.669998,190.902832,0
2016-02-01,201.039993,201.039993,201.039993,201.039993,191.254837,0
2016-02-02,198.509995,198.509995,198.509995,198.509995,188.847946,0
2016-02-03,198.880005,198.880005,198.880005,198.880005,189.199951,0
2016-02-04,197.380005,197.380005,197.380005,197.380005,187.772980,0
2016-02-05,193.990005,193.990005,193.990005,193.990005,184.547974,0
2016-02-08,190.029999,190.029999,190.029999,190.029999,180.780701,0
2016-02-09,190.649994,190.649994,190.649994,190.649994,181.370529,0
2016-02-10,192.169998,192.169998,192.169998,192.169998,182.816574,0
2016-02-11,188.009995,188.009995,188.009995,188.009995,178.858994,0
2016-02-12,190.570007,190.570007,190.570007,190.570007,181.294418,0
2016-02-16,194.570007,194.570007,194.570007,194.570007,185.099762,0
2016-02-17,197.759995,197.759995,197.759995,197.759995,188.134445,0
2016-02-18,195.839996,195.839996,195.839996,195.839996,186.307907,0
2016-02-19,196.220001,196.220001,196.220001,196.220001,186.669434,0
2016-02-22,198.919998,198.919998,198.919998,198.919998,189.238022,0
2016-02-23,197.059998,197.059998,197.059998,197.059998,187.468552,0
2016-02-24,197.580002,197.580002,197.580002,197.580002,187.963211,0
2016-02-25,199.679993,199.679993,199.679993,199.679993,189.961014,0
