Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,151.919998,151.919998,151.919998,151.919998,140.449265,0
2016-04-19,152.490005,152.490005,152.490005,152.490005,140.976212,0
2016-04-20,152.610001,152.610001,152.610001,152.610001,141.087128,0
2016-04-21,151.690002,151.690002,151.690002,151.690002,140.236618,0
2016-04-22,152.389999,152.389999,152.389999,152.389999,140.883759,0
2016-04-25,151.830002,151.830002,151.830002,151.830002,140.366028,0
2016-04-26,152.869995,152.869995,152.869995,152.869995,141.327515,0
2016-04-27,153.809998,153.809998,153.809998,153.809998,142.196564,0
2016-04-28,151.970001,151.970001,151.970001,151.970001,140.495483,0
2016-04-29,150.910004,150.910004,150.910004,150.910004,139.515518,0
2016-05-02,152.059998,152.059998,152.059998,152.059998,140.578674,0
2016-05-03,150.410004,150.410004,150.410004,150.410004,139.053314,0
2016-05-04,149.399994,149.399994,149.399994,149.399994,138.119507,0
2016-05-05,149.190002,149.190002,149.190002,149.190002,137.925385,0
2016-05-06,149.660004,149.660004,149.660004,149.660004,138.359894,0
2016-05-09,149.830002,149.830002,149.830002,149.830002,138.517059,0
2016-05-10,151.720001,151.720001,151.720001,151.720001,140.264328,0
2016-05-11,150.210007,150.210007,150.210007,150.210007,138.868378,0
2016-05-12,149.929993,149.929993,149.929993,149.929993,138.609528,0
2016-05-13,148.880005,148.880005,148.880005,148.880005,137.638763,0
2016-05-16,150.330002,150.330002,150.330002,150.330002,138.979309,0
2016-05-17,149.289993,149.289993,149.289993,149.289993,138.017838,0
2016-05-18,148.929993,148.929993,148.929993,148.929993,137.684982,0
2016-05-19,148.410004,148.410004,148.410004,148.410004,137.204330,0
2016-05-20,149.750000,149.750000,149.750000,149.750000,138.443100,0
2016-05-23,149.580002,149.580002,149.580002,149.580002,138.285919,0
2016-05-24,151.699997,151.699997,151.699997,151.699997,140.245880,0
2016-05-25,152.649994,152.649994,152.649994,152.649994,141.124115,0
2016-05-26,152.630005,152.630005,152.630005,152.630005,141.105621,0
2016-05-27,153.440002,153.440002,153.440002,153.440002,141.854492,0
2016-05-31,153.699997,153.699997,153.699997,153.699997,142.094849,0
2016-06-01,154.070007,154.070007,154.070007,154.070007,142.436920,0
2016-06-02,154.970001,154.970001,154.970001,154.970001,143.268997,0
2016-06-03,154.339996,154.339996,154.339996,154.339996,142.686508,0
2016-06-06,155.190002,155.190002,155.190002,155.190002,143.472351,0
2016-06-07,155.919998,155.919998,155.919998,155.919998,144.147217,0
2016-06-08,156.410004,156.410004,156.410004,156.410004,144.600266,0
2016-06-09,156.100006,156.100006,156.100006,156.100006,144.313660,0
2016-06-10,153.770004,153.770004,153.770004,153.770004,142.159561,0
2016-06-13,151.779999,151.779999,151.779999,151.779999,140.851120,0
2016-06-14,151.289993,151.289993,151.289993,151.289993,140.396347,0
2016-06-15,151.490005,151.490005,151.490005,151.490005,140.581985,0
2016-06-16,151.520004,151.520004,151.520004,151.520004,140.609802,0
2016-06-17,151.649994,151.649994,151.649994,151.649994,140.730438,0
2016-06-20,153.110001,153.110001,153.110001,153.110001,142.085327,0
2016-06-21,153.399994,153.399994,153.399994,153.399994,142.354462,0
2016-06-22,153.190002,153.190002,153.190002,153.190002,142.159546,0
2016-06-23,155.559998,155.559998,155.559998,155.559998,144.358871,0
2016-06-24,149.089996,149.089996,149.089996,149.089996,138.354782,0
2016-06-27,144.919998,144.919998,144.919998,144.919998,134.485031,0
2016-06-28,147.889999,147.889999,147.889999,147.889999,137.241135,0
2016-06-29,150.690002,150.690002,150.690002,150.690002,139.839554,0
2016-06-30,153.009995,153.009995,153.009995,153.009995,141.992508,0
2016-07-01,153.479996,153.479996,153.479996,153.479996,142.428665,0
2016-07-05,151.529999,151.529999,151.529999,151.529999,140.619064,0
2016-07-06,152.380005,152.380005,152.380005,152.380005,141.407913,0
2016-07-07,152.649994,152.649994,152.649994,152.649994,141.658417,0
2016-07-08,155.630005,155.630005,155.630005,155.630005,144.423874,0
2016-07-11,156.229996,156.229996,156.229996,156.229996,144.980667,0
2016-07-12,157.910004,157.910004,157.910004,157.910004,146.539703,0
2016-07-13,157.759995,157.759995,157.759995,157.759995,146.400482,0
2016-07-14,158.220001,158.220001,158.220001,158.220001,146.827377,0
2016-07-15,158.080002,158.080002,158.080002,158.080002,146.697449,0
2016-07-18,158.399994,158.399994,158.399994,158.399994,146.994415,0
2016-07-19,157.970001,157.970001,157.970001,157.970001,146.595367,0
2016-07-20,158.940002,158.940002,158.940002,158.940002,147.495529,0
2016-07-21,158.419998,158.419998,158.419998,158.419998,147.013000,0
2016-07-22,159.529999,159.529999,159.529999,159.529999,148.043060,0
2016-07-25,159.210007,159.210007,159.210007,159.210007,147.746078,0
2016-07-26,160.160004,160.160004,160.160004,160.160004,148.627716,0
2016-07-27,159.149994,159.149994,159.149994,159.149994,147.690414,0
2016-07-28,159.880005,159.880005,159.880005,159.880005,148.367859,0
2016-07-29,160.110001,160.110001,160.110001,160.110001,148.581299,0
2016-08-01,159.399994,159.399994,159.399994,159.399994,147.922424,0
2016-08-02,157.679993,157.679993,157.679993,157.679993,146.326233,0
2016-08-03,158.550003,158.550003,158.550003,158.550003,147.133636,0
2016-08-04,158.619995,158.619995,158.619995,158.619995,147.198578,0
2016-08-05,159.929993,159.929993,159.929993,159.929993,148.414246,0
2016-08-08,159.970001,159.970001,159.970001,159.970001,148.451401,0
2016-08-09,159.770004,159.770004,159.770004,159.770004,148.265778,0
2016-08-10,159.320007,159.320007,159.320007,159.320007,147.848190,0
2016-08-11,160.300003,160.300003,160.300003,160.300003,148.757629,0
2016-08-12,160.259995,160.259995,160.259995,160.259995,148.720459,0
2016-08-15,161.179993,161.179993,161.179993,161.179993,149.574219,0
2016-08-16,159.919998,159.919998,159.919998,159.919998,148.404999,0
2016-08-17,159.889999,159.889999,159.889999,159.889999,148.377121,0
2016-08-18,160.860001,160.860001,160.860001,160.860001,149.277267,0
2016-08-19,161.039993,161.039993,161.039993,161.039993,149.444321,0
2016-08-22,161.190002,161.190002,161.190002,161.190002,149.583527,0
2016-08-23,161.869995,161.869995,161.869995,161.869995,150.214569,0
2016-08-24,160.660004,160.660004,160.660004,160.660004,149.091644,0
2016-08-25,160.710007,160.710007,160.710007,160.710007,149.138077,0
2016-08-26,160.279999,160.279999,160.279999,160.279999,148.739059,0
2016-08-29,161.220001,161.220001,161.220001,161.220001,149.611343,0
2016-08-30,160.880005,160.880005,160.880005,160.880005,149.295822,0
2016-08-31,160.360001,160.360001,160.360001,160.360001,148.813278,0
2016-09-01,160.509995,160.509995,160.509995,160.509995,148.952469,0
2016-09-02,161.490005,161.490005,161.490005,161.490005,149.861923,0
2016-09-06,161.759995,161.759995,161.759995,161.759995,150.112457,0
