Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,127.690002,127.690002,127.690002,127.690002,105.060448,0
2016-07-15,127.680000,127.680000,127.680000,127.680000,105.052208,0
2016-07-18,128.000000,128.000000,128.000000,128.000000,105.315506,0
2016-07-19,128.649994,128.649994,128.649994,128.649994,105.850288,0
2016-07-20,128.649994,128.649994,128.649994,128.649994,105.850288,0
2016-07-21,128.889999,128.889999,128.889999,128.889999,106.047775,0
2016-07-22,130.000000,130.000000,130.000000,130.000000,106.961067,0
2016-07-25,129.850006,129.850006,129.850006,129.850006,106.837646,0
2016-07-26,129.240005,129.240005,129.240005,129.240005,106.335747,0
2016-07-27,128.139999,128.139999,128.139999,128.139999,105.430695,0
2016-07-28,129.339996,129.339996,129.339996,129.339996,106.418030,0
2016-07-29,130.949997,130.949997,130.949997,130.949997,107.742683,0
2016-08-01,131.380005,131.380005,131.380005,131.380005,108.096512,0
2016-08-02,129.210007,129.210007,129.210007,129.210007,106.311066,0
2016-08-03,128.479996,128.479996,128.479996,128.479996,105.710442,0
2016-08-04,127.989998,127.989998,127.989998,127.989998,105.307281,0
2016-08-05,128.029999,128.029999,128.029999,128.029999,105.340187,0
2016-08-08,128.220001,128.220001,128.220001,128.220001,105.496506,0
2016-08-09,128.860001,128.860001,128.860001,128.860001,106.023094,0
2016-08-10,128.750000,128.750000,128.750000,128.750000,105.932594,0
2016-08-11,127.300003,127.300003,127.300003,127.300003,104.739571,0
2016-08-12,127.839996,127.839996,127.839996,127.839996,105.183853,0
2016-08-15,127.760002,127.760002,127.760002,127.760002,105.118050,0
2016-08-16,126.250000,126.250000,126.250000,126.250000,103.875633,0
2016-08-17,126.720001,126.720001,126.720001,126.720001,104.262337,0
2016-08-18,126.320000,126.320000,126.320000,126.320000,103.933243,0
2016-08-19,125.529999,125.529999,125.529999,125.529999,103.283241,0
2016-08-22,126.129997,126.129997,126.129997,126.129997,103.776901,0
2016-08-23,126.239998,126.239998,126.239998,126.239998,103.867416,0
2016-08-24,125.589996,125.589996,125.589996,125.589996,103.332603,0
2016-08-25,126.190002,126.190002,126.190002,126.190002,103.826263,0
2016-08-26,124.980003,124.980003,124.980003,124.980003,102.830719,0
2016-08-29,126.230003,126.230003,126.230003,126.230003,103.859192,0
2016-08-30,126.019997,126.019997,126.019997,126.019997,103.686401,0
2016-08-31,126.139999,126.139999,126.139999,126.139999,103.785126,0
2016-09-01,125.830002,125.830002,125.830002,125.830002,103.530075,0
2016-09-02,126.889999,126.889999,126.889999,126.889999,104.402214,0
2016-09-06,127.830002,127.830002,127.830002,127.830002,105.175636,0
2016-09-07,128.639999,128.639999,128.639999,128.639999,105.842064,0
2016-09-08,127.010002,127.010002,127.010002,127.010002,104.500946,0
2016-09-09,122.050003,122.050003,122.050003,122.050003,100.419975,0
2016-09-12,122.620003,122.620003,122.620003,122.620003,101.593994,0
2016-09-13,119.480003,119.480003,119.480003,119.480003,98.992432,0
2016-09-14,119.910004,119.910004,119.910004,119.910004,99.348694,0
2016-09-15,120.410004,120.410004,120.410004,120.410004,99.762955,0
2016-09-16,120.410004,120.410004,120.410004,120.410004,99.762955,0
2016-09-19,121.559998,121.559998,121.559998,121.559998,100.715752,0
2016-09-20,121.360001,121.360001,121.360001,121.360001,100.550056,0
2016-09-21,122.879997,122.879997,122.879997,122.879997,101.809418,0
2016-09-22,125.139999,125.139999,125.139999,125.139999,103.681885,0
2016-09-23,125.400002,125.400002,125.400002,125.400002,103.897308,0
2016-09-26,125.709999,125.709999,125.709999,125.709999,104.154152,0
2016-09-27,124.419998,124.419998,124.419998,124.419998,103.085350,0
2016-09-28,125.489998,125.489998,125.489998,125.489998,103.971863,0
2016-09-29,123.769997,123.769997,123.769997,123.769997,102.546783,0
2016-09-30,122.980003,122.980003,122.980003,122.980003,101.892281,0
2016-10-03,120.760002,120.760002,120.760002,120.760002,100.052925,0
2016-10-04,119.029999,119.029999,119.029999,119.029999,98.619598,0
2016-10-05,116.610001,116.610001,116.610001,116.610001,96.614555,0
2016-10-06,116.660004,116.660004,116.660004,116.660004,96.655975,0
2016-10-07,116.449997,116.449997,116.449997,116.449997,96.481979,0
2016-10-10,117.209999,117.209999,117.209999,117.209999,97.111679,0
2016-10-11,116.029999,116.029999,116.029999,116.029999,96.134003,0
2016-10-12,117.389999,117.389999,117.389999,117.389999,97.260780,0
2016-10-13,118.269997,118.269997,118.269997,118.269997,97.989914,0
2016-10-14,117.779999,117.779999,117.779999,117.779999,97.583931,0
2016-10-17,117.989998,117.989998,117.989998,117.989998,97.757896,0
2016-10-18,118.750000,118.750000,118.750000,118.750000,98.387604,0
2016-10-19,119.040001,119.040001,119.040001,119.040001,98.627876,0
2016-10-20,118.739998,118.739998,118.739998,118.739998,98.379318,0
2016-10-21,118.300003,118.300003,118.300003,118.300003,98.014763,0
2016-10-24,118.660004,118.660004,118.660004,118.660004,98.313034,0
2016-10-25,118.370003,118.370003,118.370003,118.370003,98.072762,0
2016-10-26,116.830002,116.830002,116.830002,116.830002,96.796814,0
2016-10-27,113.739998,113.739998,113.739998,113.739998,94.236679,0
2016-10-28,114.059998,114.059998,114.059998,114.059998,94.501808,0
2016-10-31,115.970001,115.970001,115.970001,115.970001,96.084312,0
2016-11-01,113.370003,113.370003,113.370003,113.370003,93.930115,0
2016-11-02,111.709999,111.709999,111.709999,111.709999,92.554764,0
2016-11-03,110.949997,110.949997,110.949997,110.949997,91.925087,0
2016-11-04,111.760002,111.760002,111.760002,111.760002,92.596199,0
2016-11-07,113.660004,113.660004,113.660004,113.660004,94.170410,0
2016-11-08,114.300003,114.300003,114.300003,114.300003,94.700645,0
2016-11-09,112.500000,112.500000,112.500000,112.500000,93.209305,0
2016-11-10,110.620003,110.620003,110.620003,110.620003,91.651680,0
2016-11-11,111.330002,111.330002,111.330002,111.330002,92.239937,0
2016-11-14,113.970001,113.970001,113.970001,113.970001,94.427231,0
2016-11-15,112.919998,112.919998,112.919998,112.919998,93.557281,0
2016-11-16,112.720001,112.720001,112.720001,112.720001,93.391594,0
2016-11-17,111.510002,111.510002,111.510002,111.510002,92.389061,0
2016-11-18,111.760002,111.760002,111.760002,111.760002,92.596199,0
2016-11-21,111.570000,111.570000,111.570000,111.570000,92.438759,0
2016-11-22,113.480003,113.480003,113.480003,113.480003,94.021271,0
2016-11-23,113.029999,113.029999,113.029999,113.029999,93.648430,0
2016-11-25,113.629997,113.629997,113.629997,113.629997,94.145531,0
2016-11-28,114.160004,114.160004,114.160004,114.160004,94.584671,0
2016-11-29,115.220001,115.220001,115.220001,115.220001,95.462891,0
2016-11-30,113.980003,113.980003,113.980003,113.980003,94.435524,0
2016-12-01,112.239998,112.239998,112.239998,112.239998,92.993889,0
2016-12-02,113.400002,113.400002,113.400002,113.400002,93.954979,0
2016-12-05,114.300003,114.300003,114.300003,114.300003,94.700645,0
2016-12-06,114.940002,114.940002,114.940002,114.940002,95.230904,0
2016-12-07,117.320000,117.320000,117.320000,117.320000,97.202812,0
2016-12-08,118.059998,118.059998,118.059998,118.059998,97.815926,0
2016-12-09,117.870003,117.870003,117.870003,117.870003,97.658493,0
2016-12-12,118.680000,118.680000,118.680000,118.680000,98.329590,0
2016-12-13,118.720001,118.720001,118.720001,118.720001,98.362732,0
2016-12-14,116.010002,116.010002,116.010002,116.010002,96.117432,0
